Country Name,Country Code,Rural Population Percent
Aruba,ABW,56.589
Africa Eastern and Southern,AFE,64.19222988
Afghanistan,AFG,74.505
Africa Western and Central,AFW,53.36686172
Angola,AGO,34.486
Albania,ALB,39.681
Andorra,AND,11.938
Arab World,ARB,41.07340495
United Arab Emirates,ARE,13.478
Argentina,ARG,8.13
Armenia,ARM,36.851
American Samoa,ASM,12.847
Antigua and Barbuda,ATG,75.401
Australia,AUS,13.988
Austria,AUT,41.703
Azerbaijan,AZE,44.32
Burundi,BDI,86.968
Belgium,BEL,1.999
Benin,BEN,52.688
Burkina Faso,BFA,70.642
Bangladesh,BGD,63.368
Bulgaria,BGR,24.992
Bahrain,BHR,10.713
"Bahamas, The",BHS,16.975
Bosnia and Herzegovina,BIH,51.755
Belarus,BLR,21.405
Belize,BLZ,54.276
Bermuda,BMU,0
Bolivia,BOL,30.575
Brazil,BRA,13.431
Barbados,BRB,68.853
Brunei Darussalam,BRN,22.371
Bhutan,BTN,59.105
Botswana,BWA,30.554
Central African Republic,CAF,58.636
Canada,CAN,18.589
Central Europe and the Baltics,CEB,37.6663334
Switzerland,CHE,26.203
Channel Islands,CHI,69.086
Chile,CHL,12.436
China,CHN,40.848
Cote d'Ivoire,CIV,49.221
Cameroon,CMR,43.626
"Congo, Dem. Rep.",COD,55.54
"Congo, Rep.",COG,33.084
Colombia,COL,19.222
Comoros,COM,71.035
Cabo Verde,CPV,34.268
Costa Rica,CRI,20.66
Caribbean small states,CSS,48.8006501
Cuba,CUB,22.963
Curacao,CUW,10.855
Cayman Islands,CYM,0
Cyprus,CYP,33.19
Czech Republic,CZE,26.208
Germany,DEU,22.688
Djibouti,DJI,22.223
Dominica,DMA,29.517
Denmark,DNK,12.126
Dominican Republic,DOM,18.926
Algeria,DZA,27.371
East Asia & Pacific (excluding high income),EAP,44.34986597
Early-demographic dividend,EAR,54.86984384
East Asia & Pacific,EAS,40.94736969
Europe & Central Asia (excluding high income),ECA,33.00468926
Europe & Central Asia,ECS,27.78882475
Ecuador,ECU,36.179
"Egypt, Arab Rep.",EGY,57.296
Euro area,EMU,23.00691395
Eritrea,ERI,
Spain,ESP,19.679
Estonia,EST,31.12
Ethiopia,ETH,79.237
European Union,EUU,25.48330292
Fragile and conflict affected situations,FCS,58.23176152
Finland,FIN,14.618
Fiji,FJI,43.752
France,FRA,19.556
Faroe Islands,FRO,57.936
"Micronesia, Fed. Sts.",FSM,77.297
Gabon,GAB,10.63
United Kingdom,GBR,16.602
Georgia,GEO,41.368
Ghana,GHA,43.94
Gibraltar,GIB,0
Guinea,GIN,63.86
"Gambia, The",GMB,38.73
Guinea-Bissau,GNB,56.64
Equatorial Guinea,GNQ,27.857
Greece,GRC,20.942
Grenada,GRD,63.728
Greenland,GRL,13.184
Guatemala,GTM,48.946
Guam,GUM,5.22
Guyana,GUY,73.394
High income,HIC,18.61820339
"Hong Kong SAR, China",HKG,0
Honduras,HND,42.904
Heavily indebted poor countries (HIPC),HPC,63.99159883
Croatia,HRV,43.053
Haiti,HTI,44.722
Hungary,HUN,28.649
IBRD only,IBD,44.97621346
IDA & IBRD total,IBT,49.56326341
IDA total,IDA,63.02095606
IDA blend,IDB,57.77176741
Indonesia,IDN,44.675
IDA only,IDX,65.68341485
Isle of Man,IMN,47.412
India,IND,65.97
Not classified,INX,
Ireland,IRL,36.83
"Iran, Islamic Rep.",IRN,25.102
Iraq,IRQ,29.527
Iceland,ISL,6.187
Israel,ISR,7.582
Italy,ITA,29.562
Jamaica,JAM,44.326
Jordan,JOR,9.021
Japan,JPN,8.384
Kazakhstan,KAZ,42.572
Kenya,KEN,72.97
Kyrgyz Republic,KGZ,63.649
Cambodia,KHM,76.612
Kiribati,KIR,45.943
St. Kitts and Nevis,KNA,69.224
"Korea, Rep.",KOR,18.541
Kuwait,KWT,0
Latin America & Caribbean (excluding high income),LAC,20.03020572
Lao PDR,LAO,64.996
Lebanon,LBN,11.407
Liberia,LBR,48.849
Libya,LBY,19.898
St. Lucia,LCA,81.322
Latin America & Caribbean,LCN,19.37500145
Least developed countries: UN classification,LDC,66.42962936
Low income,LIC,67.41577507
Liechtenstein,LIE,85.662
Sri Lanka,LKA,81.524
Lower middle income,LMC,58.5398583
Low & middle income,LMY,49.81794026
Lesotho,LSO,71.847
Late-demographic dividend,LTE,37.5620244
Lithuania,LTU,32.321
Luxembourg,LUX,9.019
Latvia,LVA,31.858
"Macao SAR, China",MAC,0
St. Martin (French part),MAF,
Morocco,MAR,37.547
Monaco,MCO,0
Moldova,MDA,57.371
Madagascar,MDG,62.809
Maldives,MDV,60.192
Middle East & North Africa,MEA,34.62779415
Mexico,MEX,19.844
Marshall Islands,MHL,22.969
Middle income,MIC,47.88115868
North Macedonia,MKD,42.037
Mali,MLI,57.644
Malta,MLT,5.388
Myanmar,MMR,69.421
Middle East & North Africa (excluding high income),MNA,38.40875377
Montenegro,MNE,33.187
Mongolia,MNG,31.555
Northern Mariana Islands,MNP,8.382
Mozambique,MOZ,64.012
Mauritania,MRT,46.328
Mauritius,MUS,59.207
Malawi,MWI,83.063
Malaysia,MYS,23.964
North America,NAC,17.82693554
Namibia,NAM,49.968
New Caledonia,NCL,29.317
Niger,NER,83.575
Nigeria,NGA,49.656
Nicaragua,NIC,41.478
Netherlands,NLD,8.51
Norway,NOR,17.752
Nepal,NPL,80.26
Nauru,NRU,0
New Zealand,NZL,13.462
OECD members,OED,19.40536683
Oman,OMN,15.461
Other small states,OSS,37.88180965
Pakistan,PAK,63.334
Panama,PAN,32.291
Peru,PER,22.093
Philippines,PHL,53.093
Palau,PLW,20.07
Papua New Guinea,PNG,86.831
Poland,POL,39.942
Pre-demographic dividend,PRE,58.77309898
Puerto Rico,PRI,6.422
"Korea, Dem. People's Rep.",PRK,38.101
Portugal,PRT,34.789
Paraguay,PRY,38.415
West Bank and Gaza,PSE,23.836
Pacific island small states,PSS,61.26908491
Post-demographic dividend,PST,18.71972842
French Polynesia,PYF,38.166
Qatar,QAT,0.865
Romania,ROU,46.002
Russian Federation,RUS,25.567
Rwanda,RWA,82.789
South Asia,SAS,66.00764801
Saudi Arabia,SAU,16.156
Sudan,SDN,65.358
Senegal,SEN,52.808
Singapore,SGP,0
